dept,year,defor_ha,forest_area_2000_ha,defor_pct_2000
Beni,2001,19892.4316233099,12170414.075028,0.163449094670709
Beni,2002,27742.5594888404,12170414.075028,0.227950826634274
Beni,2003,19646.1171600595,12170414.075028,0.16142521560027
Beni,2004,29480.3938564584,12170414.075028,0.242229998706026
Beni,2005,38909.2380210757,12170414.075028,0.319703485692505
Beni,2006,28664.7424099743,12170414.075028,0.235528078447145
Beni,2007,28212.0957852677,12170414.075028,0.231808840778515
Beni,2008,44843.1129373163,12170414.075028,0.368460043026211
Beni,2009,38325.9774523601,12170414.075028,0.314911039312949
Beni,2010,81202.0741569251,12170414.075028,0.6672088037131
Beni,2011,64086.790335685,12170414.075028,0.526578553043501
Beni,2012,37917.1024493948,12170414.075028,0.311551457622098
Beni,2013,21820.1574416235,12170414.075028,0.179288537818902
Beni,2014,47853.0409794077,12170414.075028,0.393191560158955
Beni,2015,19791.5340811983,12170414.075028,0.162620055153323
Beni,2016,49670.6238110662,12170414.075028,0.408125997232776
Beni,2017,68552.4075426161,12170414.075028,0.563270954628209
Beni,2018,29331.29497087,12170414.075028,0.241004905749704
Beni,2019,53575.8529786319,12170414.075028,0.440213887944553
Beni,2020,50313.3222724646,12170414.075028,0.413406823813009
Beni,2021,65208.1833766624,12170414.075028,0.535792644150543
Beni,2022,66700.7824908644,12170414.075028,0.548056804638431
Beni,2023,236295.530729339,12170414.075028,1.94155703555053
Chuquisaca,2001,3522.64829368889,2406408.55786128,0.146386127250964
Chuquisaca,2002,2594.68180286884,2406408.55786128,0.107823827105024
Chuquisaca,2003,2857.61126029491,2406408.55786128,0.118750045621291
Chuquisaca,2004,1897.93458838016,2406408.55786128,0.0788700065988366
Chuquisaca,2005,3123.75470069051,2406408.55786128,0.129809823460185
Chuquisaca,2006,1031.78312649578,2406408.55786128,0.042876473453568
Chuquisaca,2007,1358.21928649396,2406408.55786128,0.056441757658188
Chuquisaca,2008,3603.56882731617,2406408.55786128,0.149748836935607
Chuquisaca,2009,2333.27215459198,2406408.55786128,0.0969607653268031
Chuquisaca,2010,1435.06540933996,2406408.55786128,0.0596351523373652
Chuquisaca,2011,7974.94679603726,2406408.55786128,0.331404522726809
Chuquisaca,2012,2023.47761500627,2406408.55786128,0.0840870353621356
Chuquisaca,2013,3281.09416479617,2406408.55786128,0.136348175544733
Chuquisaca,2014,2349.97546863556,2406408.55786128,0.0976548832889843
Chuquisaca,2015,1089.08514232934,2406408.55786128,0.0452576990208709
Chuquisaca,2016,3587.93102566153,2406408.55786128,0.149098997090101
Chuquisaca,2017,6155.58098896593,2406408.55786128,0.255799497091083
Chuquisaca,2018,2551.62835099548,2406408.55786128,0.106034710633812
Chuquisaca,2019,8267.89058050513,2406408.55786128,0.343578007711763
Chuquisaca,2020,7927.48773722351,2406408.55786128,0.329432328160816
Chuquisaca,2021,3426.75673775375,2406408.55786128,0.142401286205503
Chuquisaca,2022,7799.10867585987,2406408.55786128,0.324097445979473
Chuquisaca,2023,4589.09686502814,2406408.55786128,0.190703147644503
Cochabamba,2001,11950.207968004,2757568.97208743,0.433360256405771
Cochabamba,2002,11135.2125095278,2757568.97208743,0.403805403318658
Cochabamba,2003,10733.6117207706,2757568.97208743,0.389241822395668
Cochabamba,2004,14574.7801947668,2757568.97208743,0.528537285641635
Cochabamba,2005,9511.23881863058,2757568.97208743,0.344913904780077
Cochabamba,2006,10636.2301115394,2757568.97208743,0.38571039271188
Cochabamba,2007,10040.4902260676,2757568.97208743,0.364106585463469
Cochabamba,2008,15822.2749325931,2757568.97208743,0.57377621712272
Cochabamba,2009,12493.6431277841,2757568.97208743,0.453067294209025
Cochabamba,2010,12709.8230158985,2757568.97208743,0.460906803947586
Cochabamba,2011,14329.5656538457,2757568.97208743,0.519644868320318
Cochabamba,2012,9165.02301759273,2757568.97208743,0.332358795386901
Cochabamba,2013,10614.6444604322,2757568.97208743,0.384927614426889
Cochabamba,2014,15875.12335179,2757568.97208743,0.575692702974274
Cochabamba,2015,7587.5362187773,2757568.97208743,0.275153089390677
Cochabamba,2016,12430.3777809888,2757568.97208743,0.450773050712826
Cochabamba,2017,18261.5860094428,2757568.97208743,0.662234968346744
Cochabamba,2018,7159.65908711404,2757568.97208743,0.25963662775384
Cochabamba,2019,16039.2771798,2757568.97208743,0.581645548747908
Cochabamba,2020,9441.63469674438,2757568.97208743,0.342389793050117
Cochabamba,2021,13370.5831516162,2757568.97208743,0.484868494204694
Cochabamba,2022,12742.7150186002,2757568.97208743,0.462099593793813
Cochabamba,2023,20198.986916028,2757568.97208743,0.732492536741074
La Paz,2001,5563.64660438895,7139908.99399613,0.0779232145545183
La Paz,2002,8161.20606721193,7139908.99399613,0.114304062895964
La Paz,2003,6985.62724211067,7139908.99399613,0.0978391636081749
La Paz,2004,7159.81742551178,7139908.99399613,0.100278833127038
La Paz,2005,8506.90324112773,7139908.99399613,0.119145821722393
La Paz,2006,9183.77685811371,7139908.99399613,0.128625965202585
La Paz,2007,9687.17166061699,7139908.99399613,0.135676402441023
La Paz,2008,7959.90775193274,7139908.99399613,0.111484722825265
La Paz,2009,11675.8228891194,7139908.99399613,0.163529015551003
La Paz,2010,36611.6265414134,7139908.99399613,0.512774414522646
La Paz,2011,9022.16631349921,7139908.99399613,0.126362483346578
La Paz,2012,12455.5603893921,7139908.99399613,0.174449848028397
La Paz,2013,7781.91043696553,7139908.99399613,0.108991731456371
La Paz,2014,19873.091608718,7139908.99399613,0.278338164049837
La Paz,2015,8621.0169320032,7139908.99399613,0.120744073058249
La Paz,2016,25815.4219546467,7139908.99399613,0.361565140064875
La Paz,2017,20281.071333237,7139908.99399613,0.284052238625046
La Paz,2018,14377.6413254887,7139908.99399613,0.201370092217964
La Paz,2019,22638.9552933201,7139908.99399613,0.31707624442212
La Paz,2020,23841.301285781,7139908.99399613,0.333916038787453
La Paz,2021,14361.7097391561,7139908.99399613,0.201146957912666
La Paz,2022,20219.8762604371,7139908.99399613,0.283195153851957
La Paz,2023,38820.155150272,7139908.99399613,0.543706582015477
Oruro,2001,0.146574661135674,68.566272854805,0.213770787054531
Oruro,2002,0.366334229707718,68.566272854805,0.534277589338219
Oruro,2003,0,68.566272854805,0
Oruro,2004,0.512848116457462,68.566272854805,0.747959740415616
Oruro,2005,0,68.566272854805,0
Oruro,2006,0,68.566272854805,0
Oruro,2007,0,68.566272854805,0
Oruro,2008,0,68.566272854805,0
Oruro,2009,0.292091891169548,68.566272854805,0.425999371131165
Oruro,2010,0.292255535721779,68.566272854805,0.426238037381229
Oruro,2011,0.219798475503922,68.566272854805,0.32056354582575
Oruro,2012,0,68.566272854805,0
Oruro,2013,0,68.566272854805,0
Oruro,2014,0,68.566272854805,0
Oruro,2015,0,68.566272854805,0
Oruro,2016,0,68.566272854805,0
Oruro,2017,0,68.566272854805,0
Oruro,2018,0,68.566272854805,0
Oruro,2019,0,68.566272854805,0
Oruro,2020,0,68.566272854805,0
Oruro,2021,0,68.566272854805,0
Oruro,2022,0,68.566272854805,0
Oruro,2023,0,68.566272854805,0
Pando,2001,9129.34456081688,5914883.15569681,0.154345306923335
Pando,2002,7825.2654273361,5914883.15569681,0.132297886895692
Pando,2003,7302.74309670925,5914883.15569681,0.123463860645764
Pando,2004,10010.8707860783,5914883.15569681,0.169248834213005
Pando,2005,33100.3019737676,5914883.15569681,0.559610411608683
Pando,2006,13800.6865312532,5914883.15569681,0.233321372003119
Pando,2007,9093.03816826642,5914883.15569681,0.153731492726253
Pando,2008,15748.7025590166,5914883.15569681,0.266255514174419
Pando,2009,11588.6261834502,5914883.15569681,0.195923163288337
Pando,2010,10913.5029399693,5914883.15569681,0.184509188984708
Pando,2011,17380.178239055,5914883.15569681,0.293838065462301
Pando,2012,8639.90377002954,5914883.15569681,0.146070573882904
Pando,2013,6670.63189845532,5914883.15569681,0.112777069687854
Pando,2014,9344.25744292885,5914883.15569681,0.157978732579512
Pando,2015,5301.79897256941,5914883.15569681,0.0896348893631665
Pando,2016,10533.7484047636,5914883.15569681,0.178088867142173
Pando,2017,10893.7605041116,5914883.15569681,0.184175413399663
Pando,2018,8314.19959340245,5914883.15569681,0.140564054682885
Pando,2019,7768.19674237818,5914883.15569681,0.13133305490399
Pando,2020,10441.2314157858,5914883.15569681,0.176524728231184
Pando,2021,10166.6375765353,5914883.15569681,0.171882306191349
Pando,2022,14529.4980489016,5914883.15569681,0.245643027367459
Pando,2023,15682.8867233247,5914883.15569681,0.265142798437531
Potosí,2001,2.11668518930674,23076.5168317407,0.00917246395866524
Potosí,2002,2.3341952636838,23076.5168317407,0.0101150242070901
Potosí,2003,3.7275371029973,23076.5168317407,0.0161529451354211
Potosí,2004,24.7845244705677,23076.5168317407,0.107401496730554
Potosí,2005,3.43519075959921,23076.5168317407,0.0148860886790083
Potosí,2006,1.09627964347601,23076.5168317407,0.00475062875159792
Potosí,2007,1.24232580512762,23076.5168317407,0.00538350659324312
Potosí,2008,4.89777928590775,23076.5168317407,0.0212240838668124
Potosí,2009,4.67230421304703,23076.5168317407,0.0202470080173472
Potosí,2010,7.09411495923996,23076.5168317407,0.0307417059990714
Potosí,2011,5.18860992789269,23076.5168317407,0.0224843721681427
Potosí,2012,8.18823750317097,23076.5168317407,0.0354829871547529
Potosí,2013,0.292487755417824,23076.5168317407,0.00126746925261927
Potosí,2014,0.146302945911884,23076.5168317407,0.000633990593028542
Potosí,2015,0,23076.5168317407,0
Potosí,2016,0.731128968298435,23076.5168317407,0.00316828130358391
Potosí,2017,2.48425085842609,23076.5168317407,0.0107652765646552
Potosí,2018,0,23076.5168317407,0
Potosí,2019,0,23076.5168317407,0
Potosí,2020,0.512047871947289,23076.5168317407,0.00221891317342568
Potosí,2021,0,23076.5168317407,0
Potosí,2022,0,23076.5168317407,0
Potosí,2023,0,23076.5168317407,0
Santa Cruz,2001,85939.3296844587,31523122.6023285,0.272623149580082
Santa Cruz,2002,118259.638325952,31523122.6023285,0.375152042574668
Santa Cruz,2003,112777.231473275,31523122.6023285,0.357760342768023
Santa Cruz,2004,132396.023485519,31523122.6023285,0.419996537639135
Santa Cruz,2005,150490.165286571,31523122.6023285,0.477396123426728
Santa Cruz,2006,148051.27551242,31523122.6023285,0.469659295432502
Santa Cruz,2007,129441.14749679,31523122.6023285,0.410622859701179
Santa Cruz,2008,259096.379436091,31523122.6023285,0.821924854033821
Santa Cruz,2009,141078.376096062,31523122.6023285,0.447539343978701
Santa Cruz,2010,294209.443491422,31523122.6023285,0.93331313399038
Santa Cruz,2011,210323.266474053,31523122.6023285,0.667203148391517
Santa Cruz,2012,197413.821133286,31523122.6023285,0.626250843305428
Santa Cruz,2013,124149.70071809,31523122.6023285,0.393836937679897
Santa Cruz,2014,154942.868735209,31523122.6023285,0.491521321316576
Santa Cruz,2015,122188.143191107,31523122.6023285,0.387614338631799
Santa Cruz,2016,363398.719921984,31523122.6023285,1.15280051569238
Santa Cruz,2017,332215.239653721,31523122.6023285,1.0538779544295
Santa Cruz,2018,233938.794006333,31523122.6023285,0.742118085690701
Santa Cruz,2019,735772.797223248,31523122.6023285,2.33407332929924
Santa Cruz,2020,315700.857462913,31523122.6023285,1.00148979987025
Santa Cruz,2021,445840.289747022,31523122.6023285,1.41432781064047
Santa Cruz,2022,458590.96948386,31523122.6023285,1.45477646763962
Santa Cruz,2023,370955.273943536,31523122.6023285,1.17677197980423
Tarija,2001,4282.8720703572,2395846.27580506,0.178762390292259
Tarija,2002,3060.30906481296,2395846.27580506,0.127733949198582
Tarija,2003,3436.9009700045,2395846.27580506,0.143452482937354
Tarija,2004,7838.56918580085,2395846.27580506,0.327173294253485
Tarija,2005,7393.38880705088,2395846.27580506,0.308591952735637
Tarija,2006,5009.84168471396,2395846.27580506,0.209105305933309
Tarija,2007,2152.36245559156,2395846.27580506,0.0898372519692781
Tarija,2008,22877.7942745909,2395846.27580506,0.954894080877681
Tarija,2009,7849.80037869513,2395846.27580506,0.327642071946265
Tarija,2010,14927.0781482086,2395846.27580506,0.623039896129926
Tarija,2011,7308.87186717242,2395846.27580506,0.305064308214702
Tarija,2012,5988.040119268,2395846.27580506,0.249934237423303
Tarija,2013,5592.80758231133,2395846.27580506,0.233437664126928
Tarija,2014,4304.16786131263,2395846.27580506,0.179651253286955
Tarija,2015,1607.83050129563,2395846.27580506,0.067109084482282
Tarija,2016,4976.67313463241,2395846.27580506,0.207720886973857
Tarija,2017,6765.09899091721,2395846.27580506,0.282367823813903
Tarija,2018,6332.00688811392,2395846.27580506,0.264291033696901
Tarija,2019,9759.64841286838,2395846.27580506,0.407357037529
Tarija,2020,11250.6410839409,2395846.27580506,0.46958943892009
Tarija,2021,7641.83070531488,2395846.27580506,0.318961645514883
Tarija,2022,14701.9205611348,2395846.27580506,0.613642065002464
Tarija,2023,10038.2926924452,2395846.27580506,0.418987344631371
