year,cpi_index,cpi_2010base.x,gdp_deflator.x,inflation_cpi.x,bob_per_usd,cpi_2015base,country_name,country_code,rural_electricity,agr_land_pct,agr_value_added_pct_gdp,cereal_yield_kg_ha,cpi_2010base.y,agr_employment_pct,agr_govt_exp_pct,agr_food_prod_index,gdp_const_usd,gdp_current_bob,gdp_current_usd,gdp_deflator.y,gdp_deflator_idx,gdp_per_capita_const2015,gdp_per_capita_usd,inflation_cpi.y,official_xrate,undernourishment_pct,rural_pop_pct,agro_spend_bob_current_aper,agro_spend_bob_2015,agro_spend_usd,agro_spend_usd_2015,spend_administracion_general,spend_fomento_produccion,spend_investigacion_extension,spend_riego_agua,spend_sanidad_inocuidad,gdp_bob_2015,agro_spend_pct_gdp,agr_gdp_usd,ln_agro_spend_bob_2015,ln_agro_spend_usd_2015,ln_gdp_current_usd,ln_cereal_yield_kg_ha,ln_agr_gdp_usd,ln_agr_food_prod_index
2000,46.86107808783476,62.6303680784417,41.4358622611468,4.60822998872598,6.18354166666666,46.86107808783476,Bolivia,BOL,28.2,34.28690113541955,12.965811884223765,1641.9,62.6303680784417,36.6099584812135,20.553649005340556,54.71,17334777888.126232,51928489300.714775,8397855484.769085,33.840400081149916,41.4358622611468,2014.190246584458,975.7770603587506,4.60822998872598,6.18354166666666,NA,38.1412798424409,52269704.07999999,111541830.04929483,8453036.608739605,18038502.214770924,18494969.02,7376906.59,16236623.079999998,10161205.39,0,110813688928.32947,0.2147989120256566,1088850144.4641273,18.529910235903287,16.70801904336317,22.85124221076898,7.403609386817982,20.8083880630391,4.002046508075734
2001,47.60600698644243,63.6259740912743,42.2107516933338,1.58965377879567,6.60691666666666,47.60600698644243,Bolivia,BOL,28,34.298901504661686,13.255653666174243,1784.9,63.6259740912743,41.7594305497931,24.24491692898552,55.36,17626660726.911716,53790323886.160965,8141516928.394893,34.47324725683067,42.2107516933338,2013.8458108312325,930.1682272143124,1.58965377879567,6.60691666666666,26.6,37.6625189620995,76186792.42999999,160036090.5120587,11531368.756984485,24222507.802993156,26595830.78,8469798.46,29973868.4,11147294.79,0,112990623014.19177,0.29751836194693815,1079211287.2009742,18.89090991346235,17.00279283337947,22.820242354438623,7.487117670235462,20.799496321662442,4.0138573113094145
2002,48.047913960192645,64.2165878277003,43.4014145941989,0.928258851611069,7.17,48.047913960192645,Bolivia,BOL,22.5,34.44198283024093,12.955118631020952,1712.4,64.2165878277003,39.689843392934,28.784435459979385,57.97,18064782966.66483,56682328500,7905485146.443515,35.445653928933154,43.4014145941989,2029.669936386226,888.2213289743515,0.928258851611069,7.17,25.8,37.1812367914945,58929267.85000001,122646880.98389138,8218865.808926082,17105562.201379552,26042579.19,8827607.96,18121206.15,5937874.55,0,117970425411.10298,0.21637586921626092,1024164979.0794977,18.62481989812847,16.65491424351694,22.790822677823773,7.445651174270791,20.747143462968843,4.059925635351641
2003,49.65140497922946,66.3596719570179,46.1487207928583,3.33727499671533,7.65916666666666,49.65140497922946,Bolivia,BOL,35,33.82904089356595,13.4272369562791,1963.3,66.3596719570179,32.7285535078715,28.207637885898233,60.84,18554580623.70889,61904445905.86673,8082399639.543047,37.68936109066951,46.1487207928583,2050.071334118785,893.0137602111491,3.33727499671533,7.65916666666666,26.6,36.7081288909526,63439550.83000002,127769900.6836534,8282826.786639114,16681958.526861519,27989278.909999996,13561757.29,11277989.600000001,10610525.03,0,124678135355.41048,0.20639858545530498,1085242951.3548927,18.665741553261526,16.629838365679507,22.812954650480034,7.582382009904704,20.805069717172312,4.1082474673910925
2004,51.85462689121309,69.3043033000566,49.825716807865,4.43738080101724,7.93626666666666,51.85462689121309,Bolivia,BOL,40.3,33.801347733776424,13.322383638847707,1618.7,69.3043033000566,32.7286960150389,27.211198724807172,60.88,19328918118.46563,69628452687.13368,8773451751.512096,40.6923398982638,49.825716807865,2099.990810637003,953.1918932462772,4.43738080101724,7.93626666666666,27.2,36.2435328387748,69091703.28,133241154.01495211,8705819.27018582,16788895.788315944,34383617.61,18094896.84,14789163.45,1824025.3800000004,0,134276258188.50974,0.19136021105287773,1168832900.705645,18.70767123242721,16.63622826085864,22.894996152157105,7.389378636939915,20.879271567136723,4.1089047135534305
2005,54.65126673937566,73.0420445177246,52.7857618112263,5.39323106890663,8.06606249999999,54.65126673937566,Bolivia,BOL,29.5,34.11981907135604,11.792721532911196,1927,73.0420445177246,36.1513053363708,25.98315305582348,64.82,20183533307.22297,77023822174.56136,9549122905.328524,43.109789462620576,52.7857618112263,2156.186703253068,1020.1232620073686,5.39323106890663,8.06606249999999,27.6,35.786693779474106,94383141.72000004,172700739.34443316,11701265.855552217,21410786.160463467,24605847.27,34226885.82000001,29227278.259999994,6323130.37,0,140936938464.53244,0.22421730637183437,1126101473.060832,18.967070824198846,16.879405379203426,22.979715144847304,7.563719668414366,20.842027480774764,4.171614197713401
2006,56.99165042641857,76.1699941455487,59.9982391480471,4.28239604802561,8.01161666666666,56.99165042641857,Bolivia,BOL,41.6,34.285772916089726,10.93754805462884,2100.1,76.1699941455487,37.0084911917765,23.938039252765563,68.88,21151739180.87672,91747791482.71829,11451844902.221363,49.00017294531455,59.9982391480471,2221.427225871032,1202.7115044632694,4.28239604802561,8.01161666666666,26,35.3368568575638,75451069.17999999,132389689.74484116,9417708.350166537,16524715.953481043,25452467.96,15125819.419999998,34868961.129999995,3820.67,0,160984619319.23358,0.14429741316419395,1252551039.3220246,18.701260326417184,16.620367754657533,23.161416680798688,7.649740241625382,20.94844814005074,4.232365860119475
2007,61.95312080956928,82.8010561907833,64.4221216308726,8.70560923578869,7.85124516125,61.95312080956927,Bolivia,BOL,46.5,34.41572565309702,10.011155665671996,1763.3,82.8010561907833,33.7435071194995,21.811043363786567,73.22,22117185836.642982,103009184515.6174,13120108008.34772,52.613129089132514,64.4221216308726,2283.427335715095,1354.5490594992878,8.70560923578869,7.85124516125,24.5,34.8932672175567,279464243.82,451089856.6014353,35594894.57790749,57454562.599547856,218590448.24,34429961.73,20069817.1,5774766.75,599250,166269565067.1832,0.4379122684279136,1313474436.2199879,19.927177116205694,17.866504977722567,23.297411852772044,7.474942332413878,20.995941704563197,4.29346860769209
2008,70.63077720763123,94.3988434471963,71.1098991727448,14.0068107702519,7.23832069891666,70.63077720763123,Bolivia,BOL,57,34.53460103387796,10.442404115522647,2016.4,94.3988434471963,28.9645642457905,NA,74.43,23477060537.735165,120693759179.65321,16674276285.895582,58.074993650906016,71.1098991727448,2383.2503257822987,1692.6724845587646,14.0068107702519,7.23832069891666,23,34.4551700039662,372193622.53,526956713.83577347,51419885.63531113,72800962.50980447,107250846.55999999,238655251.79,21332564.619999997,3200380.49,1754579.07,170879840136.62106,0.4366064305374696,1741195313.1119769,20.082628966198197,18.103239734368035,23.53713302666055,7.609069022208476,21.277837675881372,4.309859086371819
2009,72.99440381899176,97.5578575098271,69.3891147558216,3.34645420142013,7.02,72.99440381899176,Bolivia,BOL,63.3,34.65347650696945,11.152407449731106,2346,97.5578575098271,27.9142437529609,NA,79.67,24265185360.04639,121726745199.99998,17339992193.732193,56.66964017340172,69.3891147558216,2422.575793900067,1731.181721122093,3.34645420142013,7.02,21.4,34.0218103613051,NA,NA,NA,NA,NA,NA,NA,NA,NA,166761749985.45435,NA,1933826581.1965811,NA,NA,23.57628135811025,7.76046702921342,21.382766561496137,4.3778931033922746
2010,74.82165525379531,99.9999999999999,75.4797499348189,2.5032760584424,7.01666666666666,74.82165525379531,Bolivia,BOL,66.4,34.772351980060925,10.389905701059378,2267.3,99.9999999999999,29.8040198576427,NA,78.67,25266542246.06118,137875561450.09195,19649723722.103382,61.643822438672416,75.4797499348189,2481.407008509452,1929.783730771584,2.5032760584424,7.01666666666666,19.9,33.5924334340867,NA,NA,NA,NA,NA,NA,NA,NA,NA,184272268479.51648,NA,2041587765.2452364,NA,NA,23.701329115218993,7.726344975232597,21.436993658368163,4.365261888341151
2011,82.21737497988586,109.884464198238,86.5015703998176,9.88446419823883,6.93696249999999,82.21737497988586,Bolivia,BOL,66.6,34.896766085110315,9.769585881695397,2045.3,109.884464198238,31.5087515949538,NA,80.5,26581436461.71756,166231574881.5821,23963164696.591965,70.64527175828503,86.5015703998176,2568.5205166367996,2315.5212193060715,9.88446419823883,6.93696249999999,18.8,33.166284366824,NA,NA,NA,NA,NA,NA,NA,NA,NA,202185456446.70602,NA,2341101955.0056643,NA,NA,23.899783683967026,7.623299756984121,21.573887576410144,4.388257184424518
2012,85.9299851602867,114.8464102656,92.6434202110263,4.51560291399375,6.91,85.9299851602867,Bolivia,BOL,72.2,35.02579562448076,9.812161914832805,2113.2,114.8464102656,29.2461174583291,NA,89.26,27943010890.653263,187153877600,27084497481.910275,75.66128068165973,92.6434202110263,2657.238849158535,2575.598570980836,4.51560291399375,6.91,18.1,32.74185551723011,NA,NA,NA,NA,NA,NA,NA,NA,NA,217798103014.79584,NA,2657574746.74385,NA,NA,24.02222735251182,7.655958665290161,21.700679794499354,4.491553459201124
2013,90.85927303284464,121.434460016488,98.1977530505842,5.73640023719606,6.91,90.85927303284464,Bolivia,BOL,68.5,35.15574836148805,9.966979476846303,1717.9,121.434460016488,31.1048260743279,NA,93.43,29842021104.139683,211856031700,30659338885.672935,80.19746830314321,98.1977530505842,2793.5145709867556,2870.0237700075613,5.73640023719606,6.91,18,32.3302944480111,NA,NA,NA,NA,NA,NA,NA,NA,NA,233169410923.4358,NA,3055810014.47178,NA,NA,24.14620314739416,7.4488578936323995,21.840310538278832,4.537212492804865
2014,96.09876454917688,128.437100493446,100.210313765951,5.76660074579143,6.91,96.09876454917688,Bolivia,BOL,70.3,35.282931782516386,9.740217537701692,1958.1,128.437100493446,29.1229457953441,NA,96.04,31471565408.631214,228003659200,32996188017.366135,81.84111359200882,100.210313765951,2900.9024158633783,3041.435031624083,5.76660074579143,6.91,17.2,31.96257458700001,NA,NA,NA,NA,NA,NA,NA,NA,NA,237259719487.15646,NA,3213900492.0405207,NA,NA,24.219657877115296,7.579729894309281,21.89075114299853,4.564764771353053
2015,100,133.651146397122,95.5799937448752,4.05961041135644,6.91,100,Bolivia,BOL,74.3,35.28200867719007,10.239494114445522,2280.2,133.651146397122,27.9913929784824,NA,101.79,33000198248.914616,228031369900,33000198248.914616,78.05956124903064,95.5799937448752,2996.0128981134417,2996.0128981134417,4.05961041135644,6.91,16.1,31.6041948702335,NA,NA,NA,NA,NA,NA,NA,NA,NA,228031369900,NA,3379053357.452966,NA,NA,24.219779405937715,7.73201843739962,21.94086143545444,4.622911867464248
2016,103.62321431764184,138.493613869075,94.2850085286961,3.62321431764138,6.91,103.62321431764184,Bolivia,BOL,74.9,35.15462014215822,11.17187541505321,2111.3,138.493613869075,27.5245435383413,NA,102.17,34407300587.15237,234533182000,33941126193.921852,77.00195521832984,94.2850085286961,3077.570575647662,3035.8734773213155,3.62321431764138,6.91,14.9,31.255367212305305,NA,NA,NA,NA,NA,NA,NA,NA,NA,226332664494.5338,NA,3791860332.85094,NA,NA,24.247893278108933,7.655059150494037,22.056122588606794,4.626638092603332
2017,106.54824694713164,142.402953510878,100,2.8227580554717,6.91,106.54824694713166,Bolivia,BOL,74.8,35.022616080494785,7.677137224747516,1845.6,142.402953510878,28.2661150516845,NA,101.63,35850757840.606766,317358607600,45927439594.79016,100,100,3160.164212289682,4048.4011973983856,2.8227580554717,6.91,14.2,30.916198372526395,NA,NA,NA,NA,NA,NA,NA,NA,NA,297854368038.0501,NA,3525912561.505065,NA,NA,24.550328587916848,7.520559706859544,21.983405122402772,4.621338767149675
2018,108.96908691065828,145.638433874571,102.475118360273,2.27205987230154,6.91,108.96908691065828,Bolivia,BOL,77.6,35.263130250161545,7.45035399971013,2333.7,145.638433874571,28.7570263173778,NA,109.51,36878987707.37335,334541008400,48414038842.2576,102.47511836027346,102.475118360273,3204.536708191235,4206.855293666104,2.27205987230154,6.91,13.7,30.586612018600107,NA,NA,NA,NA,NA,NA,NA,NA,NA,307005425010.38293,NA,3607017279.305355,NA,NA,24.603055667334427,7.755210269880838,22.006147029348536,4.696015869287668
2019,110.97362235461588,148.317518475357,102.293996478295,1.83954504969025,6.91,110.97362235461587,Bolivia,BOL,84.9,35.544415120465246,7.632882645016053,2030.1,148.317518475357,25.1991880579003,NA,109.9,37434651169.582886,338981407200,49056643589.00145,102.29399647829528,102.293996478295,3207.3869521223005,4203.15492855788,1.83954504969025,6.91,13.6,30.2665013291613,NA,NA,NA,NA,NA,NA,NA,NA,NA,305461243859.18115,NA,3744436034.732272,NA,NA,24.616241459025485,7.6158403319062895,22.04353685104879,4.699570861409576
2020,112.01759799924083,149.712803892505,101.092002918913,0.940742153381849,6.91,112.01759799924082,Bolivia,BOL,90.9,35.564590972029904,9.124055868346664,2024,149.712803892505,27.8784641014283,NA,109.48,32673162315.338806,292388248000,42313784081.04197,101.09200291891312,101.092002918913,2765.0927177231047,3580.967617783027,0.940742153381849,6.91,16,29.9557364471746,NA,NA,NA,NA,NA,NA,NA,NA,NA,261019922960.6598,NA,3860733299.5658464,NA,NA,24.46837873471629,7.6128310304073565,22.074122976361167,4.695741884172478
2021,112.84359753204902,150.816761737338,103.959121577863,0.737383721452274,6.91,112.84359753204902,Bolivia,BOL,95.1,35.68278796270655,8.810019122557634,2523,150.816761737338,27.6474189108283,NA,116.96,35949969735.497,330836236500,47877892402.31548,103.95912157786344,103.959121577863,3011.5511080755714,4010.7605368620434,0.737383721452274,6.91,19.1,29.654958717383497,NA,NA,NA,NA,NA,NA,NA,NA,NA,293181220499.4956,NA,4218051476.121563,NA,NA,24.591919698336426,7.833203948641057,22.162639122845444,4.761831996001468
2022,114.81421769510712,153.450518176398,106.65270527767,1.74632872945968,6.91,114.81421769510712,Bolivia,BOL,95.6,35.83070146773747,8.660284813061772,1716.7,153.450518176398,24.8081351819188,NA,115.45,37297165304.92267,352127256300,50959081953.6903,106.65270527767004,106.65270527767,3088.2412615524054,4219.461137424454,1.74632872945968,6.91,21.6,29.3647401291869,NA,NA,NA,NA,NA,NA,NA,NA,NA,306693076318.37494,NA,4413201635.311143,NA,NA,24.654288833010572,7.448159122276883,22.20786625740033,4.748837535800504
2023,117.77285149880278,157.40476617273,106.85442544597,2.57688800489192,6.91,117.7728514988028,Bolivia,BOL,99.6,35.83070146773747,9.310980097565514,1980,157.40476617273,25.0789048195618,NA,NA,38235698454.90008,361670830000,52340206946.454414,106.8544254459696,106.85442544597,3122.770494478231,4274.70820547613,2.57688800489192,6.91,21.8,29.08485859554619,NA,NA,NA,NA,NA,NA,NA,NA,NA,307091851302.9945,NA,4873386251.808972,NA,NA,24.681030687927763,7.590852123688581,22.30705486132531,NA
